FqRanking,Number,Name,Acceptance,Difficulty
1,1249,Minimum Remove to Make Valid Parentheses,70.8%,Medium
2,408,Valid Word Abbreviation,36.9%,Easy
3,680,Valid Palindrome II,43.2%,Easy
4,314,Binary Tree Vertical Order Traversal,57.2%,Medium
5,215,Kth Largest Element in an Array,68.1%,Medium
6,227,Basic Calculator II,46.0%,Medium
7,528,Random Pick with Weight,48.4%,Medium
8,543,Diameter of Binary Tree,63.8%,Easy
9,339,Nested List Weight Sum,85.6%,Medium
10,1650,Lowest Common Ancestor of a Binary Tree III,82.6%,Medium
11,236,Lowest Common Ancestor of a Binary Tree,67.1%,Medium
12,162,Find Peak Element,46.5%,Medium
13,199,Binary Tree Right Side View,67.4%,Medium
14,1,Two Sum,55.9%,Easy
15,56,Merge Intervals,49.6%,Medium
16,560,Subarray Sum Equals K,45.7%,Medium
17,50,Pow(x n),37.2%,Medium
18,1762,Buildings With an Ocean View,80.8%,Medium
19,347,Top K Frequent Elements,64.7%,Medium
20,71,Simplify Path,48.2%,Medium
21,138,Copy List with Random Pointer,60.8%,Medium
22,1091,Shortest Path in Binary Matrix,50.0%,Medium
23,121,Best Time to Buy and Sell Stock,55.4%,Easy
24,129,Sum Root to Leaf Numbers,68.7%,Medium
25,31,Next Permutation,43.3%,Medium
26,125,Valid Palindrome,51.2%,Easy
27,1570,Dot Product of Two Sparse Vectors,89.9%,Medium
28,938,Range Sum of BST,87.5%,Easy
29,827,Making A Large Island,55.2%,Hard
30,88,Merge Sorted Array,53.1%,Easy
31,146,LRU Cache,45.4%,Medium
32,670,Maximum Swap,51.8%,Medium
33,1004,Max Consecutive Ones III,66.2%,Medium
34,76,Minimum Window Substring,45.6%,Hard
35,973,K Closest Points to Origin,68.1%,Medium
36,23,Merge k Sorted Lists,57.1%,Hard
37,346,Moving Average from Data Stream,80.0%,Easy
38,791,Custom Sort String,72.1%,Medium
39,921,Minimum Add to Make Parentheses Valid,74.6%,Medium
40,986,Interval List Intersections,72.7%,Medium
41,14,Longest Common Prefix,45.7%,Easy
42,34,Find First and Last Position of Element in Sorted Array,47.0%,Medium
43,65,Valid Number,21.7%,Hard
44,133,Clone Graph,62.7%,Medium
45,480,Sliding Window Median,38.7%,Hard
46,378,Kth Smallest Element in a Sorted Matrix,63.7%,Medium
47,20,Valid Parentheses,42.5%,Easy
48,415,Add Strings,51.9%,Easy
49,2,Add Two Numbers,46.5%,Medium
50,987,Vertical Order Traversal of a Binary Tree,51.7%,Hard
51,1539,Kth Missing Positive Number,62.5%,Easy
52,270,Closest Binary Search Tree Value,49.7%,Easy
53,647,Palindromic Substrings,71.8%,Medium
54,708,Insert into a Sorted Circular Linked List,38.2%,Medium
55,5,Longest Palindromic Substring,36.0%,Medium
56,498,Diagonal Traverse,63.3%,Medium
57,173,Binary Search Tree Iterator,75.1%,Medium
58,489,Robot Room Cleaner,77.6%,Hard
59,636,Exclusive Time of Functions,64.9%,Medium
60,721,Accounts Merge,59.8%,Medium
61,19,Remove Nth Node From End of List,49.2%,Medium
62,207,Course Schedule,49.5%,Medium
63,977,Squares of a Sorted Array,73.3%,Easy
64,26,Remove Duplicates from Sorted Array,60.6%,Easy
